id;id_vendedor;id_cliente;fecha;metodo_pago;cliente_id
1;parsing;Plástico;2022-06-30;convergence copy multitarea;1
2;Savings tiempo;Jefe invoice transmitting;2022-07-01;Real;2
3;evolve Joyería;HDD Berkshire plug-and-play;2022-07-01;infraestructura Raton International;3
4;Genérico;Ladrillo firewall;2022-07-01;Guatemala;4
5;Increible Investment withdrawal;open-source Futuro Account;2022-06-30;Sabroso;5
6;AI Borders;Papelería Atún strategize;2022-06-30;Fantástico Gris Verde;6
7;Refinado Entrada Moda;Extremadura sticky;2022-07-01;Cantabria;7
8;Avanzado;overriding Pelota;2022-07-01;Kenia payment;8
9;feed;parse Cataluña Asociado;2022-06-30;Coche;9
10;Asociado;Pequeño Futuro Account;2022-07-01;Algodón;10
